y,p,r,flex1,flex2,flex3,flex4,x
6.71,134.98,-135.74,954.00,1023.00,1023.00,1023.00,170
7.37,134.46,-135.94,961.00,1023.00,1023.00,1023.00,171
8.45,134.11,-136.06,974.00,1023.00,1023.00,1022.00,172
9.43,133.68,-136.36,970.00,1023.00,1023.00,1023.00,173
10.44,133.21,-136.23,984.00,1023.00,1022.00,1022.00,174
11.76,133.36,-135.92,990.00,982.00,1023.00,1023.00,175
13.32,133.15,-136.51,985.00,857.00,1023.00,1015.00,176
15.08,132.53,-136.37,1013.00,791.00,1022.00,946.00,177
17.01,131.27,-136.08,974.00,747.00,1023.00,1023.00,178
18.81,129.35,-134.50,964.00,748.00,1023.00,1022.00,179
21.86,127.05,-131.18,966.00,781.00,1023.00,1023.00,180
24.85,124.98,-126.91,966.00,796.00,1023.00,1023.00,181
27.44,123.52,-123.83,965.00,838.00,1023.00,1022.00,182
28.11,122.49,-123.27,996.00,843.00,1023.00,1023.00,183
27.79,121.82,-123.76,997.00,890.00,1023.00,1023.00,184
27.59,121.50,-124.91,997.00,926.00,1023.00,1022.00,185
26.86,121.25,-126.92,998.00,952.00,1023.00,1023.00,186
25.91,121.12,-129.05,998.00,965.00,1023.00,1023.00,187
24.94,121.32,-131.32,1000.00,985.00,1023.00,1023.00,188
23.50,121.91,-134.20,995.00,985.00,1023.00,1023.00,189
20.71,123.55,-137.79,1011.00,979.00,1023.00,1023.00,190
16.64,127.01,-142.34,1012.00,978.00,1023.00,1022.00,191
12.65,131.31,-147.75,1023.00,995.00,1020.00,1020.00,192
8.92,136.37,-152.89,1023.00,1000.00,1023.00,1023.00,193
6.27,140.56,-158.23,1023.00,1001.00,1023.00,1023.00,194
3.94,144.69,-162.87,1023.00,1023.00,1023.00,1023.00,195
2.77,150.20,-165.63,1023.00,1023.00,1023.00,1003.00,196
3.92,155.37,-167.59,1023.00,1014.00,1023.00,996.00,197
5.89,160.11,-166.90,999.00,1014.00,1023.00,996.00,198
7.32,165.32,-164.98,996.00,1014.00,1023.00,1000.00,199
7.33,168.01,-165.36,1001.00,1023.00,1023.00,1023.00,200
7.55,170.70,-165.33,994.00,1023.00,1023.00,1023.00,201
8.08,172.10,-165.87,1020.00,1023.00,1023.00,1023.00,202
8.32,172.79,-166.13,1021.00,1023.00,1023.00,1023.00,203
8.59,173.63,-166.57,1021.00,1023.00,1023.00,1023.00,204
8.37,173.58,-167.61,1006.00,1023.00,1023.00,1023.00,205
8.51,173.85,-168.11,1002.00,1023.00,1023.00,1023.00,206
8.60,173.47,-168.77,1000.00,1023.00,1023.00,1023.00,207
8.64,173.19,-169.07,1003.00,1023.00,1023.00,1023.00,208
8.72,172.89,-169.42,1002.00,1023.00,1023.00,1023.00,209
8.57,171.89,-170.06,1006.00,1023.00,1023.00,1023.00,210
8.71,171.85,-170.20,1002.00,1023.00,1023.00,1023.00,211
1023.00,1023.00,-170.20,1002.00,1023.00,1023.00,1023.00,211
0.27,2.26,-12.37,1023.00,1023.00,1023.00,1023.00,212
0.27,2.24,-12.07,1023.00,1023.00,1023.00,1023.00,213
0.27,2.24,-11.78,1023.00,1023.00,1023.00,1023.00,214
0.29,2.21,-11.49,1023.00,1023.00,1023.00,1023.00,215
0.36,2.11,-11.19,1023.00,1023.00,1023.00,1023.00,216
0.54,1.86,-10.89,1023.00,1023.00,1023.00,1023.00,217
0.97,1.00,-10.93,1023.00,1023.00,1023.00,1023.00,218
1.57,-0.48,-11.17,1023.00,1023.00,1023.00,1023.00,219
2.37,-2.24,-11.48,1023.00,1023.00,1023.00,1023.00,220
3.38,-4.17,-13.01,1023.00,1023.00,1023.00,1023.00,221
5.06,-6.17,-16.25,1023.00,1023.00,1023.00,1023.00,222
7.56,-8.46,-21.77,1023.00,1023.00,1023.00,1023.00,223
10.74,-9.90,-28.32,1023.00,1023.00,1023.00,1023.00,224
14.45,-10.40,-35.49,1023.00,1023.00,1023.00,1022.00,225
18.22,-9.83,-43.41,1023.00,1023.00,1023.00,1023.00,226
21.89,-7.24,-51.81,1023.00,1023.00,1023.00,1023.00,227
26.45,-1.60,-59.02,1023.00,1023.00,1023.00,1023.00,228
30.75,5.81,-65.30,1023.00,1023.00,1023.00,1023.00,229
33.43,13.64,-71.73,990.00,1023.00,1023.00,1023.00,230
34.48,21.43,-78.64,970.00,1022.00,1023.00,1023.00,231
33.48,29.01,-86.38,958.00,1023.00,1023.00,1023.00,232
27.54,143.92,-96.32,950.00,1023.00,1023.00,1023.00,233
16.12,137.85,-108.11,949.00,1023.00,1023.00,1023.00,234
5.10,133.53,-119.69,939.00,1023.00,1023.00,1023.00,235
-1.51,131.53,-129.48,939.00,1023.00,1023.00,1023.00,236
-2.38,131.05,-134.86,941.00,1023.00,1023.00,1023.00,237
-1.61,131.11,-138.01,943.00,1023.00,1023.00,1023.00,238
-1.88,131.14,-140.70,942.00,1023.00,1023.00,1023.00,239
-2.10,131.04,-142.63,960.00,1023.00,1023.00,1023.00,240
-2.07,130.77,-143.86,966.00,1023.00,1023.00,1023.00,241
-1.04,130.70,-144.63,970.00,1023.00,1023.00,1023.00,242
1.26,130.48,-144.61,975.00,1023.00,1023.00,1023.00,243
5.03,129.92,-142.87,985.00,1023.00,1023.00,1023.00,244
9.36,129.31,-140.61,993.00,1004.00,1023.00,1023.00,245
12.57,129.07,-138.40,991.00,933.00,1023.00,1023.00,246
15.56,128.43,-136.88,999.00,882.00,1023.00,992.00,247
17.81,127.36,-136.31,1000.00,815.00,1023.00,971.00,248
20.19,126.01,-135.61,1010.00,781.00,1023.00,1023.00,249
23.45,124.43,-133.86,970.00,751.00,1023.00,1023.00,250
26.60,122.63,-131.56,953.00,789.00,1023.00,1023.00,251
29.72,120.67,-128.55,936.00,804.00,1023.00,1023.00,252
31.44,119.24,-125.69,965.00,847.00,1023.00,1023.00,253
32.35,118.56,-125.10,977.00,881.00,1023.00,1023.00,254
32.00,118.05,-126.00,977.00,905.00,1023.00,1023.00,255
31.34,117.73,-127.32,991.00,931.00,1023.00,1023.00,256
30.75,117.39,-128.92,996.00,954.00,1023.00,1023.00,257
29.85,117.29,-130.52,995.00,974.00,1023.00,1023.00,258
28.83,117.79,-132.62,1011.00,993.00,1023.00,1023.00,259
26.78,118.78,-135.67,1012.00,998.00,1023.00,1023.00,260
22.84,121.05,-139.54,1012.00,1018.00,1023.00,1023.00,261
18.00,125.02,-143.88,1023.00,1014.00,1022.00,1023.00,262
13.79,129.65,-148.06,1023.00,996.00,1023.00,1021.00,263
10.33,134.71,-152.05,1023.00,998.00,1023.00,1023.00,264
7.56,138.94,-155.62,1023.00,1017.00,1023.00,1023.00,265
3.78,142.93,-161.21,1023.00,1023.00,1023.00,1023.00,266
1.67,148.48,-164.57,1023.00,1023.00,1023.00,1023.00,267
1.93,152.54,-167.00,1022.00,1014.00,1023.00,1023.00,268
3.42,157.05,-167.00,1023.00,1023.00,1023.00,992.00,269
5.64,161.87,-165.81,997.00,1015.00,1023.00,997.00,270
6.20,165.02,-166.31,1020.00,1023.00,1023.00,1023.00,271
6.63,169.62,-166.46,1020.00,1023.00,1022.00,1023.00,272
7.20,171.31,-166.86,1020.00,1023.00,1018.00,1023.00,273
8.15,173.17,-166.31,1021.00,1023.00,1021.00,1023.00,274
8.45,174.40,-166.85,1020.00,1023.00,1023.00,1023.00,275
8.78,175.52,-166.88,1021.00,1023.00,1023.00,1023.00,276
8.86,175.53,-167.41,1021.00,1023.00,1023.00,1023.00,277
8.54,175.67,-167.45,1013.00,1023.00,1023.00,1023.00,278
7.98,175.78,-167.65,1006.00,1023.00,1023.00,1023.00,279
7.39,175.15,-168.16,1007.00,1023.00,1023.00,1023.00,280
7.35,175.20,-168.16,1005.00,1023.00,1023.00,1023.00,281
3.13,3.82,-12.12,1023.00,1023.00,1023.00,1023.00,282
3.13,3.79,-11.85,1023.00,1023.00,1023.00,1023.00,283
3.15,3.78,-11.59,1023.00,1023.00,1023.00,1023.00,284
3.20,3.80,-11.37,1023.00,1023.00,1023.00,1023.00,285
3.30,3.84,-11.29,1023.00,1023.00,1023.00,1023.00,286
3.42,3.67,-11.33,1023.00,1023.00,1023.00,1023.00,287
3.78,2.47,-11.96,1023.00,1023.00,1023.00,1023.00,288
4.22,0.69,-13.35,1023.00,1022.00,1023.00,1023.00,289
4.77,-1.67,-15.76,1023.00,1022.00,1023.00,1023.00,290
5.73,-4.54,-19.31,1023.00,1022.00,1023.00,1023.00,291
7.30,-7.25,-23.35,1023.00,1023.00,1023.00,1023.00,292
9.90,-9.84,-27.68,1023.00,1023.00,1023.00,1023.00,293
13.05,-12.23,-33.41,1023.00,1023.00,1023.00,1023.00,294
17.76,-13.58,-40.94,1023.00,1023.00,1023.00,1023.00,295
23.56,-12.62,-50.72,1023.00,1023.00,1023.00,1023.00,296
31.75,-6.54,-61.28,1023.00,1023.00,1023.00,1023.00,297
39.13,0.32,-65.05,1023.00,1023.00,1023.00,1023.00,298
45.13,7.89,-67.03,1023.00,1023.00,1023.00,1023.00,299
47.89,15.69,-69.74,1003.00,1023.00,1023.00,1023.00,300
47.67,23.50,-74.73,969.00,1023.00,1023.00,1023.00,301
44.98,31.37,-81.38,971.00,1023.00,1023.00,1023.00,302
39.51,38.62,-89.44,976.00,1023.00,1023.00,1023.00,303
31.95,134.91,-98.46,965.00,1023.00,1023.00,1023.00,304
